"name","lc","mean.D","CI.upper","CI.lower","label"
"Acid.phosphatase","Cropland",-0.190309824678027,0.340157201571571,-0.736612603655776,"Acid.phosphatase"
"Acid.phosphatase","Grassland",0.108978736879928,0.670797857733653,-0.446650390898379,"Acid.phosphatase"
"Acid.phosphatase","Other",0.10560632170167,1.14045016055816,-0.885616812663954,"Acid.phosphatase"
"Acid.phosphatase","Woodland",-0.102039864785826,0.391236235552596,-0.593220416809285,"Acid.phosphatase"
"Basal_respiration","Cropland",-0.343563964060605,0.190576856186872,-0.896005479770419,"Basal_respiration"
"Basal_respiration","Grassland",0.154682630572037,0.718445235299726,-0.402557133522773,"Basal_respiration"
"Basal_respiration","Other",0.322005582311082,1.32588541859499,-0.685261420258085,"Basal_respiration"
"Basal_respiration","Woodland",-0.301152751872294,0.202661755252267,-0.79217587008449,"Basal_respiration"
"beta.glucosidase","Cropland",0.00806702291642274,0.542206836514642,-0.528981689935633,"beta.glucosidase"
"beta.glucosidase","Grassland",0.0466328320277274,0.605460847892694,-0.510669199568784,"beta.glucosidase"
"beta.glucosidase","Other",0.493828346230315,1.50153771738073,-0.529174398392381,"beta.glucosidase"
"beta.glucosidase","Woodland",-0.0465147172871261,0.448685225810637,-0.536651932371213,"beta.glucosidase"
"Cellulase","Cropland",-0.246046873628741,0.287679636377727,-0.791617950549905,"Cellulase"
"Cellulase","Grassland",-0.059748020607085,0.501229225978039,-0.614806854290607,"Cellulase"
"Cellulase","Other",0.563422373747233,1.54337980055327,-0.492130522056933,"Cellulase"
"Cellulase","Woodland",0.188583709996448,0.676686141463742,-0.311044350534587,"Cellulase"
"Cmic","Cropland",0.458690753749794,0.954152838422141,-0.136536882806935,"Cmic"
"Cmic","Grassland",0.00882991368154957,0.566995403881144,-0.54781685730415,"Cmic"
"Cmic","Other",0.777509365321667,1.84009381767039,-0.290395714176165,"Cmic"
"Cmic","Woodland",-0.0236792206601353,0.468604375425686,-0.515966922961754,"Cmic"
"MWD","Cropland",0.0442703045842779,0.578859504412961,-0.492367301235073,"MWD"
"MWD","Grassland",0.0689276762034829,0.627162559746969,-0.488884593081795,"MWD"
"MWD","Other",-0.200996485624223,0.796833961322138,-1.19381716809061,"MWD"
"MWD","Woodland",0.167188283764297,0.659661174002651,-0.328047970753064,"MWD"
"N.actylglucosaminidase","Cropland",0.0480215163813376,0.581559460455414,-0.490583798247984,"N.actylglucosaminidase"
"N.actylglucosaminidase","Grassland",0.00144293025420448,0.56719250400869,-0.549273759251439,"N.actylglucosaminidase"
"N.actylglucosaminidase","Other",0.452653998154881,1.46572314230143,-0.564301931442081,"N.actylglucosaminidase"
"N.actylglucosaminidase","Woodland",-0.0632149637223148,0.440830206005697,-0.54525948701008,"N.actylglucosaminidase"
"WSA","Cropland",0.185321200257458,0.719690100230048,-0.355770283657135,"WSA"
"WSA","Grassland",-0.0110778708279639,0.54455281336579,-0.570879549563216,"WSA"
"WSA","Other",0.702905858389938,1.75809076520316,-0.352630364800815,"WSA"
"WSA","Woodland",0.0824988616128258,0.574349188211556,-0.410740374293076,"WSA"
"Xylosidase","Cropland",0.176770543939846,0.705486105596042,-0.369668470072405,"Xylosidase"
"Xylosidase","Grassland",0.104365318705228,0.662449981913123,-0.452397031813482,"Xylosidase"
"Xylosidase","Other",0.193193116386676,1.20391494230574,-0.796516720742004,"Xylosidase"
"Xylosidase","Woodland",-0.245557604272231,0.257072426963915,-0.734385947792522,"Xylosidase"
